AMP ID,Project Title,Status,Donor,District,City
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Parsa,Birgunj
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Pyuthan,Pyuthan Khalanga
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Ramechhap,Manthali
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Rasuwa,Dhunche
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Rautahat,Gaur
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Rolpa,Liwang
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Rukum,Musikot
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Rupandehi,Bhairahawa
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Salyan,Salyan Khalanga
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Sankhuwasabha,Khandbari
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Saptari,Rajbiraj
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Sarlahi,Malangwa
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Sindhuli,Sindhuli Madhi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Sindhupalchok,Chautara
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Siraha,Siraha
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Solukhumbu,Salleri
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Sunsari,Inaruwa
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Surkhet,Surkhet
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Syangja,Syangja
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Tanahu,Damauli
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Taplejung,Taplejung
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Terhathum,Manglung
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Udayapur,Gaighat
